Fold,Model,TP,TN,FP,FN,Accuracy
1,Random Forest,21,33,2,1,0.9473684210526315
1,SVM,22,34,1,0,0.9824561403508771
1,LSTM,20,33,2,2,0.9298245614035088
2,Random Forest,22,34,1,0,0.9824561403508771
2,SVM,22,34,1,0,0.9824561403508771
2,LSTM,19,34,1,3,0.9298245614035088
3,Random Forest,20,35,1,1,0.9649122807017544
3,SVM,20,33,3,1,0.9298245614035088
3,LSTM,18,34,2,3,0.9122807017543859
4,Random Forest,17,35,1,4,0.9122807017543859
4,SVM,19,36,0,2,0.9649122807017544
4,LSTM,13,36,0,8,0.8596491228070176
5,Random Forest,19,35,1,2,0.9473684210526315
5,SVM,20,36,0,1,0.9824561403508771
5,LSTM,16,36,0,5,0.9122807017543859
6,Random Forest,19,36,0,2,0.9649122807017544
6,SVM,18,35,1,3,0.9298245614035088
6,LSTM,16,35,1,5,0.8947368421052632
7,Random Forest,20,35,1,1,0.9649122807017544
7,SVM,21,36,0,0,1.0
7,LSTM,17,32,4,4,0.8596491228070176
8,Random Forest,21,33,3,0,0.9473684210526315
8,SVM,21,35,1,0,0.9824561403508771
8,LSTM,18,30,6,3,0.8421052631578947
9,Random Forest,18,35,1,3,0.9298245614035088
9,SVM,20,36,0,1,0.9824561403508771
9,LSTM,19,31,5,2,0.8771929824561403
10,Random Forest,21,35,0,0,1.0
10,SVM,21,35,0,0,1.0
10,LSTM,18,34,1,3,0.9285714285714286
